singleSetId,weight,reps,distance,duration,elevationGain,setNumber,exerciseSetParseId,exerciseName,workoutId,workoutDate,fake_user_id
nJIOld4nXl,7.0,12.0,0.0,0.0,0.0,3,YzzElZzx66,Plate Twist,d8qetOrvgc,2018-04-14,fake_id_415
jj3umAuWbn,0.0,15.0,0.0,0.0,0.0,3,2MiJdvIzGD,Jump Squat,yLJfcOfX7v,2019-06-29,fake_id_409
ofcTdSoXQX,6.8038936415345965,12.0,0.0,0.0,0.0,1,qB40urXnid,Dumbbell Clean,teDZTadFZQ,2019-06-26,fake_id_409
rIeDy0z8iY,0.0,5.0,0.0,0.0,0.0,1,Aryo8Nu0HW,Hanging Oblique Knee Raise,t4x9eI9FPB,2019-01-13,fake_id_413
PpIo8yb7uQ,0.0,0.0,0.0,30.0,0.0,2,LJvTB4ZKuT,Side Bridge,Qj6Vp86gXZ,2019-07-16,fake_id_409
gCcAy2nYWL,4.535929094356399,10.0,0.0,0.0,0.0,2,6usqMU1Ynm,Dumbbell Skullcrusher,N5bWyAndTD,2018-05-11,fake_id_409
0L3FQ3m9QX,20.0,20.0,,,,1,CUfKPrBmjz,Upright Row,V7JDwy1FfZ,2016-11-26,fake_id_409
pwxizealaZ,30.0,20.0,,,,2,CUfKPrBmjz,Upright Row,V7JDwy1FfZ,2016-11-26,fake_id_409
Z4h7b5yJpb,43.091326396385774,6.0,0.0,0.0,0.0,2,5o5flGOKSa,Seated Leg Curl,idzxSiAoZK,2019-02-05,fake_id_413
CTvE2JKdd6,95.25451098148433,6.0,0.0,0.0,0.0,3,NsA7nQ6rQm,Seated Leg Curl,QAbEm1wAeS,2019-08-28,fake_id_414
RWzh4ypYsm,77.11079460405875,10.0,0.0,0.0,0.0,1,2p24cdNNF0,Seated Leg Curl,ebvuo9M5H9,2019-08-06,fake_id_414
HHQeckwnFP,108.86229826455354,8.0,0.0,0.0,0.0,5,RivuplTCmd,Lat Pulldown,Dg44vwl72G,2018-06-19,fake_id_424
o8Wkqjz5nn,18.14371637742559,8.0,0.0,0.0,0.0,1,fauUizFHW4,Lat Pulldown,qWiD0sY9D0,2018-05-31,fake_id_409
iwts5PYvnV,90.0,10.0,,,,4,oY8N90Dxjp,Lat Pulldown,crtC7t9Kfo,2017-02-26,fake_id_409
GJyMNhHWVn,31.75150366049478,5.0,0.0,0.0,0.0,3,9mVQpZCoZA,Lat Pulldown,N5bWyAndTD,2018-05-11,fake_id_409
8wj9HygzmP,27.215574566138386,10.0,0.0,0.0,0.0,1,kwmv9EitcN,Lat Pulldown,dCuQzrVvKt,2019-01-18,fake_id_416
EeWY8oJZfd,90.71858188712795,3.0,0.0,0.0,0.0,2,ATn9SRbFKX,Lat Pulldown,8a0j3RAAg6,2019-07-01,fake_id_419
6eN1x1qDgp,120.0,7.0,,,,3,v0aoFdmjli,Lat Pulldown,nOBBDaxB8i,2017-03-01,fake_id_410
MwkbEmb4Kr,135.0,5.0,,,,1,pvo42r8kaO,Lat Pulldown,BMaH0qPgfS,2017-02-15,fake_id_410
KHmwWYWey4,12.0,8.0,,,,3,MymoximYTE,Dumbbell Front Raise,MeU64jUs5D,2016-12-13,fake_id_409
SaJmHuwkCL,0.0,14.0,,,,3,0EwbEazihT,Russian Twist,U8950s06rn,2017-05-09,fake_id_409
a4dMjz4i0z,2.2679645471781993,12.0,0.0,0.0,0.0,2,lyDATSdBBR,Russian Twist,VDboHn5XAV,2018-09-11,fake_id_420
Xtv4uXL1mj,0.0,25.0,0.0,0.0,0.0,3,uSdLD3PoCb,Russian Twist,4mgAESpjFt,2019-07-08,fake_id_414
Y3SdmktuWz,0.0,25.0,0.0,0.0,0.0,1,sy7cUzTkCi,Russian Twist,84AHDA2QlT,2019-08-07,fake_id_414
AkxaXO9hV0,43.091326396385774,15.0,0.0,0.0,0.0,3,3LZOaXLFgK,Dumbbell Row,OdxrUlkG5B,2019-05-19,fake_id_419
